repo	file	category	confidence	methods
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/nodes/spi/SnippetParameterInfo.java	Column / parameter mask	high	BitSet(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/phases/common/InsertProxyPhase.java	Dataflow / liveness	high	BitSet(); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/phases/common/inlining/walker/CallsiteHolderExplorable.java	Dataflow / liveness	medium	get(int); isEmpty()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/phases/common/inlining/walker/InliningData.java	Dataflow / liveness	medium	BitSet(); set(int); toString()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/phases/common/inlining/walker/MethodInvocation.java	Dataflow / liveness	medium	
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/replacements/DefaultJavaLoweringProvider.java	Column / parameter mask	high	BitSet(); get(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/replacements/NonNullParameterPlugin.java	Column / parameter mask	high	get(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/replacements/ReplacementsImpl.java	Column / parameter mask	high	isEmpty()
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/replacements/SnippetTemplate.java	Column / parameter mask	high	BitSet(int); set(int)
graal	compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/virtual/phases/ea/PartialEscapeClosure.java	Dataflow / liveness	high	BitSet(int); get(int); set(int)
graal	espresso-compiler-stub/src/com.oracle.truffle.espresso.graal/src/com/oracle/truffle/espresso/graal/DummyReplacements.java	Column / parameter mask	high	
graal	espresso/src/com.oracle.truffle.espresso.libjavavm/src/com/oracle/truffle/espresso/libjavavm/Arguments.java	Flag / feature storage	medium	get(int)
graal	espresso/src/com.oracle.truffle.espresso.libjavavm/src/com/oracle/truffle/espresso/libjavavm/LibEspresso.java	Flag / feature storage	medium	BitSet(); set(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/BlockIterator.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/GraphBuilder.java	Bytecode / IR tracking	high	BitSet(); BitSet(int); get(int); set(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/frame/FrameAnalysis.java	Bytecode / IR tracking	high	BitSet(int); get(int); set(int); set(from,to); set(from,to,bool); clear(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/graph/EspressoExecutionGraph.java	Bytecode / IR tracking	high	BitSet(int); get(int); set(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/liveness/BlockBoundaryFinder.java	Dataflow / liveness	high	BitSet(int); get(int); set(int)
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/liveness/BlockBoundaryResult.java	Dataflow / liveness	high	
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/liveness/LivenessAnalysis.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(int); or(); andNot(); clone()
graal	espresso/src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/analysis/liveness/LoopPropagatorClosure.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); clear(); clear(int); or(); andNot(); isEmpty(); clone()
graal	sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java	Flag / feature storage	medium	BitSet(); get(int); set(int); set(from,to)
graal	sdk/src/org.graalvm.polyglot.tck/src/org/graalvm/polyglot/tck/TypeDescriptor.java	Flag / feature storage	medium	BitSet(); get(int); set(int); isEmpty()
graal	substratevm/src/com.oracle.graal.pointsto/src/com/oracle/graal/pointsto/AnalysisPolicy.java	Graph / type-state	high	
graal	substratevm/src/com.oracle.graal.pointsto/src/com/oracle/graal/pointsto/flow/context/bytecode/BytecodeSensitiveAnalysisPolicy.java	Graph / type-state	high	and(); or(); andNot(); cardinality()
graal	substratevm/src/com.oracle.graal.pointsto/src/com/oracle/graal/pointsto/flow/context/bytecode/ContextSensitiveMultiTypeState.java	Graph / type-state	high	get(int); equals()
graal	substratevm/src/com.oracle.graal.pointsto/src/com/oracle/graal/pointsto/typestate/DefaultAnalysisPolicy.java	Graph / type-state	high	set(from,to); clear(int); and(); or(); andNot(); nextSetBit(); cardinality()
graal	substratevm/src/com.oracle.graal.pointsto/src/com/oracle/graal/pointsto/typestate/TypeStateUtils.java	Graph / type-state	high	BitSet(int); set(int); clear(int); and(); or(); andNot(); nextSetBit(); cardinality(); size(); length(); clone()
graal	substratevm/src/com.oracle.svm.core.foreign/src/com/oracle/svm/core/foreign/TrampolineSet.java	Set membership / visited	medium	BitSet(int); get(int); set(int); clear(); isEmpty()
graal	substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/code/CodeInfoEncoder.java	Bytecode / IR tracking	high	BitSet(); get(int); set(int)
graal	substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/code/FrameInfoEncoder.java	Bytecode / IR tracking	high	BitSet(); get(int); set(int); length()
graal	substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/graal/meta/SubstrateReplacements.java	Column / parameter mask	high	
graal	substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/heap/Pod.java	Set membership / visited	medium	BitSet(); get(int); set(int); set(from,to); nextSetBit(); nextClearBit(); isEmpty(); equals()
graal	substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/heap/SubstrateReferenceMap.java	Serialization / wire protocol	medium	BitSet(); get(int); set(int); nextSetBit(); previousSetBit(); isEmpty(); toLongArray(); valueOf(...); stream()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/code/SubstrateGraphMaker.java	Dataflow / liveness	low	
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/dashboard/PointsToBreakdown.java	Graph / type-state	high	BitSet(); get(int); set(int); stream()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/dynamicaccessinference/dataflow/ForwardDataFlowAnalyzer.java	Dataflow / liveness	high	BitSet(); nextSetBit()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/imagelayer/ImageLayerSectionFeature.java	Serialization / wire protocol	medium	isEmpty(); toByteArray()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/imagelayer/LayeredDispatchTableFeature.java	Serialization / wire protocol	medium	BitSet(); set(int)
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/meta/TypeCheckBuilder.java	Dataflow / liveness	low	BitSet(); get(int); set(int); and(); or(); andNot(); nextSetBit(); isEmpty(); cardinality(); intersects(); clone(); equals()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/meta/UniverseBuilder.java	Dataflow / liveness	low	BitSet(); set(from,to); nextSetBit(); nextClearBit(); previousSetBit(); length(); clone()
graal	substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/meta/VTableBuilder.java	Dataflow / liveness	low	BitSet(); get(int); or(); nextClearBit()
graal	substratevm/src/com.oracle.svm.interpreter/src/com/oracle/svm/interpreter/ristretto/meta/RistrettoReplacements.java	Column / parameter mask	high	
graal	sulong/projects/com.oracle.truffle.llvm.parser/src/com/oracle/truffle/llvm/parser/LLVMLivenessAnalysis.java	Dataflow / liveness	high	BitSet(int); get(int); set(int); set(from,to); clear(); clear(int); or(); andNot(); nextSetBit(); size()
graal	sulong/projects/com.oracle.truffle.llvm.parser/src/com/oracle/truffle/llvm/parser/LazyToTruffleConverterImpl.java	Dataflow / liveness	low	nextSetBit()
graal	sulong/projects/com.oracle.truffle.llvm.parser/src/com/oracle/truffle/llvm/parser/ValueList.java	Dataflow / liveness	low	BitSet(); get(int); set(int); set(int,bool)
graal	sulong/projects/com.oracle.truffle.llvm.runtime/src/com/oracle/truffle/llvm/runtime/LLVMIVarBitLarge.java	Dataflow / liveness	low	BitSet(int); set(int); isEmpty(); toByteArray()
graal	sulong/projects/com.oracle.truffle.llvm/src/com/oracle/truffle/llvm/initialization/LoadModulesNode.java	Dataflow / liveness	low	BitSet(int); get(int); set(int); clear()
graal	tools/src/com.oracle.truffle.tools.agentscript/src/com/oracle/truffle/tools/agentscript/impl/InsightInstrument.java	Dataflow / liveness	low	BitSet(); set(int); clear(int); nextClearBit(); length()
graal	truffle/src/com.oracle.truffle.api.dsl/src/com/oracle/truffle/api/dsl/SpecializationStatistics.java	Dataflow / liveness	low	BitSet(); get(int); set(int); nextSetBit()
graal	truffle/src/com.oracle.truffle.api.strings/src/com/oracle/truffle/api/strings/TruffleString.java	Dataflow / liveness	low	BitSet(int); get(int); set(int)
graal	truffle/src/com.oracle.truffle.api/src/com/oracle/truffle/api/frame/FrameDescriptor.java	Dataflow / liveness	low	BitSet(); get(int); set(int); clear(int); or()
graal	truffle/src/com.oracle.truffle.dsl.processor/src/com/oracle/truffle/dsl/processor/library/LibraryGenerator.java	Dataflow / liveness	low	BitSet(int)
graal	truffle/src/com.oracle.truffle.polyglot/src/com/oracle/truffle/polyglot/PolyglotContextImpl.java	Dataflow / liveness	low	BitSet(int); get(int); set(int); cardinality()
graal	truffle/src/com.oracle.truffle.polyglot/src/com/oracle/truffle/polyglot/PolyglotThreadInfo.java	Dataflow / liveness	low	BitSet(int); get(int); set(int); clear(int); cardinality()
graal	visualizer/C1Visualizer/TextEditor/src/main/java/at/ssw/visualizer/texteditor/model/Scanner.java	Dataflow / liveness	low	BitSet(); get(int); set(int)
graal	visualizer/IdealGraphVisualizer/Data/src/main/java/org/graalvm/visualizer/data/serialization/lazy/GraphMetadata.java	Dataflow / liveness	low	BitSet(); set(int)
graal	visualizer/IdealGraphVisualizer/Data/src/main/java/org/graalvm/visualizer/data/serialization/lazy/StreamPool.java	Dataflow / liveness	low	BitSet(); get(int); set(int); clear()
graal	visualizer/IdealGraphVisualizer/GraphSearch/src/main/java/org/graalvm/visualizer/search/ui/actions/GraphContextAction.java	Dataflow / liveness	low	BitSet(); get(int); set(int)
graal	wasm/src/org.graalvm.wasm/src/org/graalvm/wasm/GlobalRegistry.java	Dataflow / liveness	low	BitSet(int); get(int); set(int,bool)
graal	wasm/src/org.graalvm.wasm/src/org/graalvm/wasm/parser/validation/BlockFrame.java	Dataflow / liveness	low	BitSet(int); set(int); clone()
graal	wasm/src/org.graalvm.wasm/src/org/graalvm/wasm/parser/validation/ControlFrame.java	Dataflow / liveness	low	get(int); set(int); clone()
graal	wasm/src/org.graalvm.wasm/src/org/graalvm/wasm/parser/validation/IfFrame.java	Dataflow / liveness	low	clone()
graal	wasm/src/org.graalvm.wasm/src/org/graalvm/wasm/parser/validation/LoopFrame.java	Dataflow / liveness	low	clone()
graal	web-image/src/com.oracle.svm.hosted.webimage/src/com/oracle/svm/hosted/webimage/wasm/ast/ActiveData.java	Dataflow / liveness	low	BitSet(int); get(int); set(int); size()
guava	android/guava/src/com/google/common/base/SmallCharMatcher.java	Character class / lexer	high	get(int); set(int); nextSetBit(); cardinality()
guava	android/guava/src/com/google/common/collect/ImmutableMap.java	Set membership / visited	low	BitSet(); get(int); set(int); isEmpty(); cardinality()
guava	android/guava/src/com/google/common/collect/Sets.java	Set membership / visited	low	BitSet(int); get(int); set(int); set(from,to); clear(from,to); nextSetBit(); nextClearBit(); isEmpty(); size(); clone()
guava	guava/src/com/google/common/base/SmallCharMatcher.java	Character class / lexer	high	get(int); set(int); nextSetBit(); cardinality()
guava	guava/src/com/google/common/collect/ImmutableMap.java	Set membership / visited	low	BitSet(); get(int); set(int); isEmpty(); cardinality()
guava	guava/src/com/google/common/collect/Sets.java	Set membership / visited	low	BitSet(int); get(int); set(int); set(from,to); clear(from,to); nextSetBit(); nextClearBit(); isEmpty(); size(); clone()
h2database	h2/src/main/org/h2/command/Parser.java	Indexing / record tracking	low	
h2database	h2/src/main/org/h2/command/ParserBase.java	Indexing / record tracking	low	BitSet(); get(int); set(int); or(); nextSetBit(); isEmpty(); cardinality(); length()
h2database	h2/src/main/org/h2/command/Tokenizer.java	Indexing / record tracking	low	get(int); set(int)
h2database	h2/src/main/org/h2/command/query/Optimizer.java	Query optimization	medium	BitSet(); get(int); set(int)
h2database	h2/src/main/org/h2/command/query/Select.java	Column / parameter mask	medium	BitSet(); nextSetBit(); cardinality()
h2database	h2/src/main/org/h2/engine/Database.java	Indexing / record tracking	low	BitSet(); get(int); set(int); andNot(); nextClearBit()
h2database	h2/src/main/org/h2/engine/SessionLocal.java	Indexing / record tracking	low	BitSet(); set(int)
h2database	h2/src/main/org/h2/jdbc/JdbcCallableStatement.java	Indexing / record tracking	low	BitSet(); get(int); set(int)
h2database	h2/src/main/org/h2/mvstore/Chunk.java	Indexing / record tracking	high	BitSet(); get(int); set(int); isEmpty(); cardinality(); toByteArray(); valueOf(...)
h2database	h2/src/main/org/h2/mvstore/FileStore.java	Indexing / record tracking	high	BitSet()
h2database	h2/src/main/org/h2/mvstore/db/MVSortedTempResult.java	Indexing / record tracking	high	BitSet(); get(int); set(int); nextClearBit()
h2database	h2/src/main/org/h2/mvstore/db/Store.java	Indexing / record tracking	high	get(int)
h2database	h2/src/main/org/h2/mvstore/tx/CommitDecisionMaker.java	Indexing / record tracking	high	BitSet(int); get(int); set(int)
h2database	h2/src/main/org/h2/mvstore/tx/Transaction.java	Indexing / record tracking	high	BitSet(); get(int); set(int)
h2database	h2/src/main/org/h2/table/InformationSchemaTable.java	Column / parameter mask	medium	
h2database	h2/src/main/org/h2/table/InformationSchemaTableLegacy.java	Column / parameter mask	medium	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java	Flag / feature storage	high	BitSet(int); get(int); set(int); nextClearBit()
hibernate-orm	hibernate-core/src/main/java/org/hibernate/internal/util/StringHelper.java	Column / parameter mask	low	BitSet(); get(int); set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/EmbeddableMappingTypeImpl.java	Column / parameter mask	medium	BitSet(); get(int); set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/ToOneAttributeMapping.java	Column / parameter mask	medium	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/persister/entity/mutation/EntityTableMapping.java	Column / parameter mask	high	BitSet(); get(int); set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/persister/entity/mutation/TableSet.java	Column / parameter mask	high	BitSet(); get(int); set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/query/results/internal/complete/EntityResultImpl.java	Column / parameter mask	medium	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/query/sqm/sql/AggregateColumnAssignmentHandler.java	Column / parameter mask	high	BitSet(int); get(int); set(int); nextSetBit(); previousSetBit(); previousClearBit(); cardinality()
hibernate-orm	hibernate-core/src/main/java/org/hibernate/query/sqm/sql/internal/SqmMapEntryResult.java	Column / parameter mask	medium	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/ast/spi/AbstractSqlAstTranslator.java	Column / parameter mask	high	BitSet(int); get(int); set(int); size()
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/AbstractFetchParent.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/BiDirectionalFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/DomainResultGraphNode.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/FetchParent.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/basic/BasicFetch.java	Column / parameter mask	high	set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/basic/BasicResult.java	Column / parameter mask	high	set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/collection/internal/DelayedCollectionFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/collection/internal/EagerCollectionFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/collection/internal/SelectEagerCollectionFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/AbstractDiscriminatedEntityResultGraphNode.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/AbstractEntityResultGraphNode.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/EntityFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/internal/AbstractNonJoinedEntityFetch.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/internal/EntityFetchJoinedImpl.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/internal/EntityInitializerImpl.java	Column / parameter mask	high	BitSet(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/ArgumentDomainResult.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/DynamicInstantiationResultImpl.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/graph/tuple/TupleResult.java	Column / parameter mask	high	set(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/internal/domain/CircularBiDirectionalFetchImpl.java	Column / parameter mask	high	
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/jdbc/internal/JdbcValuesResultSetImpl.java	Column / parameter mask	high	BitSet(int); get(int); set(int); clear()
hibernate-orm	hibernate-core/src/main/java/org/hibernate/sql/results/jdbc/internal/StandardJdbcValuesMapping.java	Column / parameter mask	high	BitSet(int)
hibernate-orm	hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java	Flag / feature storage	high	BitSet(); set(int); isEmpty()
hibernate-orm	hibernate-spatial/src/main/java/org/hibernate/spatial/dialect/hana/HANASpatialFunction.java	Flag / feature storage	medium	BitSet(); get(int); set(from,to); size()
hibernate-orm	hibernate-vector/src/main/java/org/hibernate/vector/internal/VectorHelper.java	Flag / feature storage	medium	BitSet(); set(int); nextSetBit()
hibernate-orm	tooling/metamodel-generator/src/main/java/org/hibernate/processor/annotation/ErrorHandler.java	Set membership / visited	medium	
hive	common/src/java/org/apache/hadoop/hive/common/FileUtils.java	Query optimization	low	BitSet(int); get(int); set(int); size()
hive	iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/writer/ParquetVariantRecordWriter.java	Query optimization	low	BitSet(int); set(int); nextClearBit(); size()
hive	ql/src/java/org/apache/hadoop/hive/ql/ddl/table/partition/add/AlterTableAddPartitionOperation.java	Query optimization	medium	BitSet()
hive	ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnStatsUpdateTask.java	Query optimization	medium	BitSet()
hive	ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java	Query optimization	low	BitSet(); get(int); set(int)
hive	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java	Query optimization	low	get(int); toString()
hive	ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java	Null / dirty tracking	high	BitSet(int); set(int); set(from,to,bool); clear(int); clear(from,to); nextSetBit(); previousSetBit(); cardinality(); size(); clone()
hive	ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java	Serialization / wire protocol	medium	BitSet()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConstantPropagateProcFactory.java	Query optimization	low	BitSet(); get(int); set(int); nextSetBit()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java	Query optimization	medium	BitSet(int); set(int); clear(); cardinality()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GroupingSetOptimizer.java	Query optimization	low	nextSetBit(); valueOf(...)
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/SharedWorkOptimizer.java	Query optimization	low	BitSet(); get(int); set(int); cardinality()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveAggregateJoinTransposeRule.java	Query optimization	high	BitSet(); get(int); get(from,to); set(int)
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveCardinalityPreservingJoinOptimization.java	Query optimization	high	BitSet(); BitSet(int); get(int); set(int); stream()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveLoptMultiJoin.java	Query optimization	high	get(int)
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveLoptOptimizeJoinRule.java	Query optimization	high	BitSet(int); get(int); set(int); clear(int); and(); or(); cardinality()
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/EstimateUniqueKeys.java	Query optimization	high	BitSet(); get(int); set(int)
hive	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdPredicates.java	Query optimization	high	get(int); set(int); nextSetBit(); cardinality(); toString()
hive	ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java	Serialization / wire protocol	high	valueOf(...); toByteArray()
hive	ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java	Query optimization	high	BitSet(); set(int); flip(from,to); size()
hive	ql/src/java/org/apache/hadoop/hive/ql/plan/TableScanDesc.java	Query optimization	low	get(int); size()
hive	serde/src/java/org/apache/hadoop/hive/serde2/thrift/ColumnBuffer.java	Serialization / wire protocol	medium	BitSet(); get(int); get(from,to); set(from,to); size(); length()
hive	service/src/java/org/apache/hive/service/auth/AuthType.java	Query optimization	low	BitSet(); get(int); set(int); cardinality()
hive	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnCommonUtils.java	Flag / feature storage	medium	BitSet(); get(int); set(int); valueOf(...)
hive	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/FileUtils.java	Query optimization	low	BitSet(int); get(int); set(int); size()
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/columnstats/aggr/ColumnStatsAggregator.java	Query optimization	medium	BitSet(int); get(int); set(int); nextClearBit(); cardinality(); size()
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/handler/AddPartitionsHandler.java	Query optimization	medium	BitSet()
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/handler/CreateTableHandler.java	Query optimization	low	BitSet()
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java	Flag / feature storage	medium	BitSet(int); get(int); set(from,to); valueOf(...)
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/entities/OpenTxnList.java	Flag / feature storage	medium	BitSet(); set(int); size(); toByteArray()
hive	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/jdbc/functions/GetValidWriteIdsForTableFunction.java	Flag / feature storage	medium	BitSet(); set(int); clear(); size(); toByteArray()
hive	standalone-metastore/metastore-tools/tools-common/src/main/java/org/apache/hadoop/hive/metastore/tools/HMSClient.java	Query optimization	low	get(int); valueOf(...)
hive	storage-api/src/java/org/apache/hadoop/hive/common/ValidCleanerWriteIdList.java	Query optimization	low	BitSet()
hive	storage-api/src/java/org/apache/hadoop/hive/common/ValidCompactorWriteIdList.java	Flag / feature storage	medium	
hive	storage-api/src/java/org/apache/hadoop/hive/common/ValidReadTxnList.java	Flag / feature storage	medium	BitSet(); BitSet(int); get(int); set(int); nextSetBit()
hive	storage-api/src/java/org/apache/hadoop/hive/common/ValidReaderWriteIdList.java	Query optimization	low	BitSet(); BitSet(int); get(int); set(int); nextSetBit()
lucene	lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/NGramFragmentChecker.java	Indexing / record tracking	low	BitSet(int); set(from,to,bool); cardinality(); size()
lucene	lucene/analysis/common/src/java/org/apache/lucene/analysis/in/IndicNormalizer.java	Indexing / record tracking	low	BitSet(int); get(int); set(int)
lucene	lucene/codecs/src/java/org/apache/lucene/codecs/memory/FSTTermsReader.java	Indexing / record tracking	high	BitSet(); get(int); set(int)
lucene	lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextLiveDocsFormat.java	Indexing / record tracking	high	BitSet(int); get(int); set(int); length()
lucene	lucene/core/src/java/org/apache/lucene/util/automaton/Automaton.java	Character class / lexer	high	BitSet(int); get(int); set(from,to); nextSetBit(); size()
lucene	lucene/core/src/java/org/apache/lucene/util/automaton/FiniteStringsIterator.java	Character class / lexer	high	BitSet(int); get(int); set(int); clear(int)
lucene	lucene/core/src/java/org/apache/lucene/util/automaton/Operations.java	Character class / lexer	high	BitSet(int); get(int); set(int); clear(int); and(); andNot(); nextSetBit(); isEmpty(); cardinality()
lucene	lucene/core/src/java/org/apache/lucene/util/fst/Util.java	Indexing / record tracking	low	BitSet(); get(int); set(int)
lucene	lucene/core/src/java/org/apache/lucene/util/graph/GraphTokenStreamFiniteStrings.java	Indexing / record tracking	low	BitSet(int); get(int); set(int)
lucene	lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoConcavePolygon.java	Indexing / record tracking	low	BitSet(); get(int); set(int); size(); equals()
lucene	lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoConvexPolygon.java	Indexing / record tracking	low	BitSet(); get(int); set(int); size(); equals()
lucene	lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoPolygonFactory.java	Indexing / record tracking	low	BitSet(); BitSet(int); get(int); set(int,bool); set(from,to); size()
lucene	lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/SerializableObject.java	Indexing / record tracking	low	toByteArray(); valueOf(...)
netty	codec-base/src/main/java/io/netty/handler/codec/DateFormatter.java	Character class / lexer	high	BitSet(); get(int); set(int)
netty	codec-http/src/main/java/io/netty/handler/codec/http/CookieUtil.java	Character class / lexer	high	BitSet(int); get(int); set(int); set(int,bool); set(from,to,bool); or()
netty	codec-http/src/main/java/io/netty/handler/codec/http/cookie/CookieUtil.java	Character class / lexer	high	BitSet(); get(int); set(int); set(int,bool)
netty	common/src/main/java/io/netty/util/internal/InternalThreadLocalMap.java	Flag / feature storage	low	BitSet(); get(int); set(int)
pmd	pmd-core/src/main/java/net/sourceforge/pmd/cpd/MatchCollector.java	Static analysis detectors	high	BitSet(); get(int); set(int)
pmd	pmd-java/src/main/java/net/sourceforge/pmd/lang/java/ast/OverrideResolutionPass.java	Static analysis detectors	high	BitSet(int); get(int); set(int)
pmd	pmd-java/src/main/java/net/sourceforge/pmd/lang/java/symbols/table/internal/JavaResolvers.java	Static analysis detectors	high	BitSet(int); get(int); set(int); nextSetBit(); isEmpty(); size()
spark	core/src/main/java/org/apache/spark/memory/TaskMemoryManager.java	Indexing / record tracking	medium	BitSet(int); get(int); set(int); clear(int)
spotbugs	spotbugs/src/main/java/edu/umd/cs/findbugs/LocalVariableAnnotation.java	Static analysis detectors	medium	get(int); equals()
spotbugs	spotbugs/src/main/java/edu/umd/cs/findbugs/OpcodeStack.java	Bytecode / IR tracking	high	BitSet(); get(int); set(int); clear(); nextSetBit(); clone()
spotbugs	spotbugs/src/main/java/edu/umd/cs/findbugs/StackMapAnalyzer.java	Static analysis detectors	medium	BitSet(); set(int)
